,school,sex,dob,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,nurse_visit,absences,Grades
1,GP,F,6/5/2000,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,4/10/2014 14:59,6,5/6/2006
2,GP,F,11/25/1999,U,GT3,T,1,1,at_home,other,course,father,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,3/12/2015 14:59,4,5/5/2006
3,GP,F,2/2/1998,U,LE3,T,1,1,at_home,other,other,mother,1,2,3,yes,no,yes,no,yes,yes,yes,no,4,3,2,2,3,3,9/21/2015 14:59,10,7/8/2010
4,GP,F,12/20/1997,U,GT3,T,4,2,health,services,home,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,3,2, ,1,1,5,9/3/2015 14:59,2,15/14/15
5,GP,F,10/4/1998,U,GT3,T,3,3,other,other,home,father,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,2,1,2,5,4/7/2015 14:59,4,6/10/2010
6,GP,M,6/16/1999,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,11/15/2013 14:59,10,15/15/15
7,GP,M,9/20/1997,U,LE3,T,2,2,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,9/20/2015 14:59,0,12/12/2011
8,GP,F,7/5/1998,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,2/1/2015 14:59,6,6/5/2006
9,GP,M,3/18/2000,U,LE3,A,3,2,services,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,1,1,4/12/2015 14:59,0,16/18/19
10,GP,M,3/18/1997,U,GT3,T,3,4,other,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,12/30/2014 14:59,0,14/15/15
11,GP,F,2/21/1998,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,1,2,2,3/8/2014 14:59,0,10/8/2009
12,GP,F,11/24/1999,U,GT3,T,2,1,services,other,reputation,father,3,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,,,1,4,11/30/2014 14:59,4,10/12/2012
13,GP,M,5/9/1999,U,LE3,T,4,4,health,services,course,father,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4,3,,,3,5,10/10/2015 14:59,2,14/14/14
14,GP,M,10/7/1997,U,GT3,T,4,3,teacher,other,course,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,5,4,,,2,3,7/26/2014 14:59,2,10/10/2011
15,GP,M,5/2/1999,U,GT3,A,2,2,other,other,home,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,5,,,1,3,4/18/2015 14:59,0,14/16/16
16,GP,F,5/25/1998,U,GT3,T,4,4,health,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,,,2,2,1/1/2014 14:59,4,14/14/14
17,GP,F,2/15/1997,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3,2,,,2,2,2/23/2014 14:59,6,13/14/14
18,GP,F,4/22/1999,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,no,no,5,3,,,1,4,9/25/2015 14:59,4,8/10/2010
19,GP,M,7/27/1999,U,GT3,T,3,2,services,services,course,mother,1,1,3,no,yes,no,yes,yes,yes,yes,no,5,5,,,4,5,10/1/2015 14:59,16,6/5/2005
20,GP,M,12/19/1998,U,LE3,T,4,3,health,other,home,father,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,1,3,1,3,5,12/13/2013 14:59,4,8/10/2010
21,GP,M,11/6/1999,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,8/20/2015 14:59,0,13/14/15
22,GP,M,6/10/1998,U,GT3,T,4,4,health,health,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,1/21/2014 14:59,0,12/15/2015
23,GP,M,10/23/1997,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,10/15/2014 14:59,2,15/15/16
24,GP,M,5/26/1997,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,11/21/2014 14:59,0,13/13/12
25,GP,F,7/28/1997,R,GT3,T,2,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,5/20/2014 14:59,2,10/9/2008
26,GP,F,4/16/1999,U,GT3,T,2,2,services,services,home,mother,1,1,2,no,yes,yes,no,no,yes,yes,no,1,2,2,1,3,5,12/22/2013 14:59,14,6/9/2008
27,GP,M,11/10/1999,U,GT3,T,2,2,other,other,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,2,5,6/14/2014 14:59,2,12/12/2011
28,GP,M,8/22/1997,U,GT3,T,4,2,health,services,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,2,2,4,2,4,1,9/24/2015 14:59,4,15/16/15
29,GP,M,9/1/1999,U,LE3,A,3,4,services,other,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,2/24/2014 14:59,4,11/11/2011
30,GP,M,1/7/1999,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,7/20/2014 14:59,16,10/12/2011
31,GP,M,2/3/1998,U,GT3,T,4,4,health,services,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,10/31/2013 14:59,0,9/11/2012
32,GP,M,10/24/2000,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,11/29/2013 14:59,0,17/16/17
33,GP,M,10/26/1998,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,3/31/2014 14:59,0,17/16/16
34,GP,M,10/23/2000,U,LE3,T,3,3,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,3/17/2014 14:59,0,8/10/2012
35,GP,M,5/25/1997,U,GT3,T,3,2,other,other,home,mother,1,1,0,no,yes,yes,no,no,yes,yes,no,5,4,3,1,1,5,10/24/2014 14:59,0,12/14/2015
36,GP,F,11/19/1996,U,GT3,T,2,3,other,other,other,father,2,1,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,12/4/2013 14:59,0,8/7/2006
37,GP,M,3/11/1997,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,11/6/2013 14:59,2,15/16/18
38,GP,M,10/6/1998,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,5/8/2015 14:59,7,15/16/15
39,GP,F,8/30/1999,R,GT3,T,3,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,9/2/2015 14:59,2,12/12/2011
40,GP,F,12/12/1996,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,0,yes,yes,yes,yes,yes,yes,no,no,4,3,1,1,1,2,8/21/2015 14:59,8,14/13/13
41,GP,F,5/11/2000,U,LE3,T,2,2,other,other,home,mother,2,2,1,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,12/25/2013 14:59,25,7/10/2011
42,GP,M,4/7/1997,U,LE3,T,4,4,teacher,other,home,other,1,1,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,6/13/2015 14:59,8,12/12/2012
43,GP,M,11/5/1997,U,GT3,T,4,4,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,11/30/2013 14:59,2,19/18/18
44,GP,M,8/16/1998,U,GT3,T,2,2,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,8/7/2015 14:59,0,8/8/2011
45,GP,F,7/14/1998,U,LE3,T,2,2,other,at_home,course,father,2,2,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,3/8/2015 14:59,14,10/10/2009
46,GP,F,11/16/1996,U,LE3,A,4,3,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,1/18/2014 14:59,8,8/8/2006
47,GP,F,5/12/1997,U,LE3,A,3,3,other,services,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,2/26/2014 14:59,12,11/12/2011
48,GP,M,1/6/1997,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,10/15/2015 14:59,4,19/19/20
49,GP,M,12/21/1997,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,3,2,2,5,1/8/2014 14:59,2,15/15/14
50,GP,F,11/21/1997,U,GT3,T,4,4,services,teacher,other,father,1,2,1,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,7/28/2015 14:59,2,7/7/2007
51,GP,F,12/28/1997,U,LE3,T,2,2,services,services,course,mother,3,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,2,3,4,8/24/2014 14:59,2,12/13/2013
52,GP,F,9/19/1999,U,LE3,T,4,2,health,other,other,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,1,5,3/14/2014 14:59,2,11/13/2013
53,GP,M,8/23/1998,U,LE3,A,4,2,health,health,other,father,2,1,1,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,7/2/2015 14:59,6,11/11/2010
54,GP,F,12/28/1996,U,GT3,T,4,4,services,services,course,mother,1,1,0,yes,yes,yes,no,yes,yes,yes,no,3,3,4,2,3,5,1/14/2014 14:59,0,8/10/2011
55,GP,F,8/13/2000,U,LE3,A,3,3,other,other,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,5,3,4,4,4,1,8/29/2014 14:59,6,10/13/2013
56,GP,F,11/3/1996,U,GT3,A,2,1,other,other,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,5,3,4,1,1,2,5/20/2014 14:59,8,8/9/2010
57,GP,F,9/28/1997,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,7/30/2014 14:59,0,14/15/15
58,GP,M,11/4/1997,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,6/3/2014 14:59,4,14/15/15
59,GP,M,7/1/2000,U,LE3,T,1,2,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,8/16/2015 14:59,2,9/10/2009
60,GP,F,6/6/2000,U,GT3,T,4,2,services,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,2,3,1,1,5,3/30/2015 14:59,2,15/16/16
61,GP,F,12/1/1998,R,GT3,T,4,4,health,teacher,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,2/6/2015 14:59,6,10/11/2011
62,GP,F,7/13/2000,U,GT3,T,1,1,services,services,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,6/17/2014 14:59,6,10/8/2011
63,GP,F,1/16/1999,U,LE3,T,1,2,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,5/26/2015 14:59,4,8/10/2009
64,GP,F,6/17/2000,U,GT3,T,4,3,teacher,health,home,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,7/17/2015 14:59,2,10/9/2009
65,GP,F,10/25/1998,U,LE3,T,4,3,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,6/18/2014 14:59,0,10/10/2010
66,GP,F,7/5/1999,U,LE3,T,4,3,teacher,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,12/26/2014 14:59,2,16/15/15
67,GP,M,5/13/1998,U,GT3,A,4,4,other,services,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,1/2/2015 14:59,4,13/13/12
68,GP,F,6/23/1997,U,GT3,T,3,1,   services,other,course,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,no,4,3,3,1,2,5,6/27/2015 14:59,4,7/7/2006
69,GP,F,6/8/1998,R,LE3,T,2,2,health,services,reputation,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,1,3,1,3,4,8/28/2015 14:59,2,8/9/2008
70,GP,F,6/25/2000,R,LE3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,7/18/2014 14:59,12,16/16/16
71,GP,M,10/5/1997,U,GT3,T,3,1,other,other,reputation,father,2,4,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,9/26/2015 14:59,0,13/15/15
72,GP,M,10/12/2000,U,GT3,T,4,2,other,other,course,mother,1,4,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,9/22/2015 14:59,0,10/10/2010
73,GP,F,6/8/2000,R,GT3,T,1,1,other,other,reputation,mother,1,2,2,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,9/5/2014 14:59,2,8/6/2005
74,GP,M,1/31/1999,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,2/22/2015 14:59,2,12/12/2014
75,GP,F,3/11/1999,U,GT3,T,3,3,other,services,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,9/30/2015 14:59,54,11/12/2011
76,GP,M,7/23/2000,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,6/20/2014 14:59,6,9/9/2010
77,GP,M,12/4/1996,U,GT3,T,4,0,teacher,other,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,8/21/2014 14:59,8,11/11/2010
78,GP,F,4/27/1999,U,GT3,T,2,2,other,other,reputation,mother,1,4,0,no,no,yes,no,yes,yes,yes,yes,5,2,3,1,3,3,1/8/2015 14:59,0,11/11/2011
79,GP,M,7/21/1999,U,GT3,T,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,8/15/2015 14:59,2,8/8/2010
80,GP,F,8/21/1998,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,10/15/2015 14:59,12,5/5/2005
81,GP,M,11/15/1997,U,GT3,T,2,3,other,services,course,father,1,1,0,yes,yes,yes,yes,no,yes,yes,yes,3,2,2,1,3,3,3/15/2015 14:59,2,10/12/2012
82,GP,M,4/8/1998,U,GT3,T,2,3,other,other,home,mother,1,3,0,yes,no,yes,no,no,yes,yes,no,5,3,2,1,2,5,4/18/2014 14:59,4,11/10/2011
83,GP,F,2/17/2000,U,LE3,T,3,2,services,other,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,5,2/12/2014 14:59,10,7/6/2006
84,GP,M,9/2/1997,U,LE3,T,2,2,services,services,home,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,3/14/2014 14:59,4,15/15/15
85,GP,F,2/1/1998,U,GT3,T,1,1,other,other,home,father,1,2,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,3,4,11/8/2014 14:59,2,9/10/2010
86,GP,F,9/22/1998,U,GT3,T,4,4,services,services,reputation,father,2,2,2,no,no,yes,no,yes,yes,yes,yes,4,4,4,2,3,5,6/2/2015 14:59,6,7/9/2008
87,GP,F,3/31/1999,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,8/25/2015 14:59,4,8/7/2006
88,GP,F,6/5/1997,U,GT3,T,4,2,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,3/9/2015 14:59,4,13/14/14
89,GP,M,1/20/1999,U,GT3,T,2,2,services,other,reputation,father,2,2,1,no,no,yes,yes,no,yes,yes,no,4,4,2,1,1,3,10/1/2015 14:59,12,11/10/2010
90,GP,M,8/10/1998,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,2/18/2014 14:59,18,8/6/2007
91,GP,F,2/4/1997,U,GT3,T,3,3,other,other,home,mother,1,3,0,no,yes,yes,no,yes,yes,yes,yes,4,3,3,1,3,4,11/11/2013 14:59,0,7/7/2008
92,GP,F,3/2/1997,U,GT3,T,4,3,services,other,reputation,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,4,5,5,1,3,1,3/18/2015 14:59,4,16/17/18
93,GP,F,10/31/1998,U,LE3,T,3,1,other,other,home,father,1,2,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,3,2,2/9/2014 14:59,4,7/6/2006
94,GP,F,4/25/1997,U,GT3,T,4,2,teac  her,services,home,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,1,12/27/2013 14:59,0,11/10/2010
95,GP,M,9/4/2000,U,LE3,T,2,2,se rv ices ,health,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,1,4,1/25/2014 14:59,6,11/13/2014
96,GP,F,2/24/1997,R,GT3,T,1,1,at_home,other,home,mother,2,4,1,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,5/21/2014 14:59,2,7/10/2010
97,GP,M,7/12/1997,R,GT3,T,4,3,services,other,reputation,mother,2,1,0,yes,yes,no,yes,no,yes,yes,no,3,3,3,1,1,4,8/20/2014 14:59,2,11/15/2015
98,GP,F,5/4/1999,U,GT3,T,2,1,other,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,no,yes,4,3,5,1,1,5,5/21/2014 14:59,2,8/9/2010
99,GP,F,4/30/1997,U,GT3,T,4,4, ,other,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,7/4/2015 14:59,6,11/14/2014
100,GP,F,1/1/1997,U,GT3,T,4,3,other,at_home,course,mother,1,3,0,yes,yes,yes,no,yes,yes,yes,no,5,3,5,1,1,3,6/23/2015 14:59,0,7/9/2008
101,GP,M,3/2/2000,U,GT3,T,4,4,services,services,other,mother,1,1,0,yes,yes,yes,yes,yes,yes,yes,no,4,5,5,5,5,4,9/15/2015 14:59,14,7/7/2005
102,GP,M,12/27/1996,U,GT3,T,4,4, ,teacher,other,father,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,1,4,12/15/2013 14:59,0,16/17/17
103,GP,,,,,,,,,,,,,,0,no,yes,no,yes,no,yes,yes,no,5,3,3,1,1,5,4/26/2014 14:59,4,10/13/2014
104,GP,,,,,,,,,,,,,,0,yes,yes,yes,no,yes,yes,yes,no,4,3,5,1,1,2,8/10/2014 14:59,26,7/6/2006
105,GP,,,,,,,,,,,,,,0,no,yes,yes,yes,yes,yes,yes,no,5,4,4,1,1,1,8/20/2015 14:59,0,16/18/18
106,GP,,,,,,,,,,,,,,0,yes,no,no,no,yes,yes,no,no,4,3,3,1,1,4,8/24/2015 14:59,10,10/11/2011
107,GP,F,12/1/1999,U,GT3,T,2,2,other,other,course,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,no,5,1,2,1,1,3,1/15/2014 14:59,8,7/8/2008
108,GP,M,4/14/1999,U,GT3,T,3,3,services,other,home,father,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,11/30/2014 14:59,2,16/18/18
109,GP,M,1/16/1998,R,GT3,T,4,4,other,other,home,father,4,4,0,no,yes,yes,yes,yes,yes,yes,yes,1,3,5,3,5,1,3/15/2014 14:59,6,10/13/2013
110,GP,F,2/6/1999,U,LE3,T,4,4,health,health,other,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,5,4,5,1,1,4,8/21/2015 14:59,4,14/15/16
111,GP,M,10/18/1998,U,LE3,A,4,4,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5,5,3,1,1,4,9/22/2015 14:59,6,18/19/19
112,GP,F,10/21/1999,R,GT3,T,3,3,services,other,reputation,father,1,3,1,yes,yes,no,yes,yes,yes,yes,no,4,1,2,1,1,2,1/5/2015 14:59,0,7/10/2010
113,GP,F,9/19/1999,U,GT3,T,2,2,at_home,other,home,mother,1,2,1,yes,no,no,yes,yes,yes,yes,no,3,1,2,1,1,5,3/16/2014 14:59,6,10/13/2013
114,GP,M,5/29/1997,U,LE3,T,4,2,teacher,other,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3,5,2,1,1,3,3/30/2014 14:59,10,18/19/19
115,GP,M,1/25/1998,R,GT3,T,2,1,health,services,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,4,2,1,1,5,9/2/2015 14:59,8,9/9/2009
116,GP,M,3/28/1997,U,GT3,T,4,4,teacher,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,2,5,2/7/2015 14:59,2,15/15/16
117,GP,M,1/29/1998,U,GT3,T,4,4,other,teacher,reputation,father,2,2,0,no,yes,no,yes,yes,yes,no,no,4,4,3,1,1,2,1/12/2015 14:59,2,11/13/2014
118,GP,M,4/2/1999,U,GT3,T,3,3,other,services,home,father,2,1,0,no,no,no,yes,yes,yes,yes,no,5,4,2,1,1,5,10/31/2014 14:59,0,13/14/13
119,GP,M,8/7/2000,R,GT3,T,1,3,other,other,course,father,3,2,1,no,yes,no,yes,yes,yes,yes,no,5,2,4,1,4,5,1/5/2014 14:59,20,9/7/2008
120,GP,M,11/3/1996,U,GT3,T,3,4,other,other,reputation,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,4,3,1,2,4,4/30/2015 14:59,6,14/13/13
121,GP,F,9/4/1997,U,GT3,T,1,2,at_home,services,course,mother,1,2,0,no,no,no,no,no,yes,yes,no,3,2,3,1,2,1,4/3/2014 14:59,2,16/15/15
122,GP,M,6/30/1997,U,GT3,T,2,2,services,services,home,father,1,4,0,no,yes,yes,yes,yes,yes,yes,no,5,5,4,1,2,5,11/13/2014 14:59,6,16/14/15
123,GP,F,3/22/1999,U,LE3,T,2,4,other,health,course,father,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,2,2,1,2,5,12/12/2014 14:59,2,13/13/13
124,GP,M,5/31/2000,U,GT3,T,4,4,health,other,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,3,4,4,1,4,5,12/3/2013 14:59,18,14/11/13
125,GP,F,2/1/1999,U,GT3,T,2,2,other,other,home,mother,1,2,0,no,no,yes,no,yes,yes,yes,yes,5,4,4,1,1,5,9/5/2015 14:59,0,8/7/2008
126,GP,M,7/12/2000,U,GT3,T,3,4,services,services,home,father,1,1,0,yes,no,no,no,yes,yes,yes,no,5,5,5,3,2,5,11/12/2013 14:59,0,13/13/12
127,GP,F,10/1/1997,U,LE3,A,3,4,other,other,home,mother,1,2,0,yes,no,no,yes,yes,yes,yes,yes,5,3,2,1,1,1,7/30/2015 14:59,0,7/10/2011
128,GP,F,8/2/2000,U,GT3,T,0,1,at_home,other,course,other,1,2,3,no,yes,,,,,,no,3,4,2,1,1,5,3/7/2014 14:59,2,7/8/2009
129,GP,M,7/15/2000,R,GT3,T,2,2,services,other,reputation,mother,1,1,2,no,yes,,,,,,no,3,3,3,1,2,4,4/30/2014 14:59,0,7/4/2000
130,GP,M,9/14/2000,R,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,no,no,,,,,,no,3,5,5,2,5,4,2/7/2014 14:59,8,18/18/18
131,GP,F,1/16/1999,R,GT3,T,3,4,services,teacher,course,father,2,3,2,no,yes,,,,,,yes,4,2,2,2,2,5,2/15/2015 14:59,0,12/0/0
132,GP,F,9/21/1997,U,GT3,T,1,1,at_home,other,course,mother,3,1,0,no,yes,,,,,,yes,4,3,3,1,2,4,9/14/2014 14:59,0,8/0/0
